color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Lampoon's Animal House,1978,R,28 Jul 1978,109 min,Comedy,John Landis,"Harold Ramis, Douglas Kenney, Chris Miller","John Belushi, Karen Allen, Tom Hulce","Faber College has one frat house so disreputable it will take anyone. It has a second one full of white, anglo-saxon, rich young men who are so sanctimonious no one can stand them except Dean Wormer. The dean enlists the help of the second frat to get the boys of Delta House off campus. The dean's plan comes into play just before the homecoming parade to end all parades for all time.","English, Italian",United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BM2M2ZDA4MTYtOGRjMi00OTg5LWI1ZTUtMjQxZTc2NWZjNDFkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.4,"123,615",tt0077975,movie,26 Aug 2003,"$141,600,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goldfinger,1964,PG,09 Jan 1965,110 min,"Action, Adventure, Thriller",Guy Hamilton,"Richard Maibaum, Paul Dehn, Ian Fleming","Sean Connery, Gert Fröbe, Honor Blackman","James Bond (Sir Sean Connery) is back and his next mission takes him to Fort Knox, where Auric Goldfinger (Gert Fröbe) and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats, and avoid Goldfinger's personal pilot, the sexy Pussy Galore (Honor Blackman). She might not have feelings for Bond, but will 007 help her change her mind?","English, Chinese, Spanish",United Kingdom,Won 1 Oscar. 7 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.7,"194,216",tt0058150,movie,07 Nov 2006,"$51,081,062",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiviral,2012,Not Rated,13 Feb 2013,108 min,"Horror, Mystery, Sci-Fi",Brandon Cronenberg,Brandon Cronenberg,"Caleb Landry Jones, Lisa Berry, Sarah Gadon","Syd March is an employee at a clinic that sells injections of live viruses harvested from sick celebrities to obsessed fans. Biological communion - for a price. Syd also supplies illegal samples of these viruses to piracy groups, smuggling them from the clinic in his own body. When he becomes infected with the disease that kills super sensation Hannah Geist, Syd becomes a target for collectors and rabid fans. He must unravel the mystery surrounding her death before he suffers the same fate.",English,"Canada, France",5 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNjI5MzY0OTgwMF5BMl5BanBnXkFtZTcwNzQ1MzAzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,5.7,"14,409",tt2099556,movie,06 Aug 2013,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's a Wonderful Life,1946,PG,07 Jan 1947,130 min,"Drama, Family, Fantasy",Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra","James Stewart, Donna Reed, Lionel Barrymore","George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his wings. He shows George what things would have been like if he had never been born.","English, French",United States,Nominated for 5 Oscars. 6 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.6,"467,521",tt0038650,movie,13 Jul 2004,"$44,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trainspotting,1996,R,09 Aug 1996,93 min,Drama,Danny Boyle,"Irvine Welsh, John Hodge","Ewan McGregor, Ewen Bremner, Jonny Lee Miller","A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them...",English,United Kingdom,Nominated for 1 Oscar. 23 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.1,"694,686",tt0117951,movie,01 Jun 2004,"$16,491,080",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Original Kings of Comedy,2000,R,18 Aug 2000,115 min,"Comedy, Documentary",Spike Lee,"Cedric the Entertainer, Steve Harvey, D.L. Hughley","Steve Harvey, D.L. Hughley, Cedric the Entertainer","February 26 and 27, 2000, the Original Kings of Comedy play Charlotte, NC. The themes are Blacks and Whites, men and women, old-school and hip-hop. Steve Harvey emcees, celebrates '70s music and lyrics of love, and pokes at folks in the front row. D.L. Hughley mines racial differences and talks about his marriage. Cedric the Entertainer riffs on a Black president and on being grown up. Bernie Mac, who says he expresses what's in the back of our minds, closes with reflections on being 42 (new aspects to his sex life and his attitude toward children). Spike Lee's camera takes us backstage and off-stage with the Kings and into the crowd where everyone's laughing.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTI5NDY1NDU1M15BMl5BanBnXkFtZTcwODcyNTMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.8,"5,917",tt0236388,movie,27 Feb 2001,"$38,182,790",Paramount Pictures,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paranormal Activity 2,2010,R,22 Oct 2010,91 min,"Horror, Mystery",Tod Williams,"Michael R. Perry, Christopher Landon, Tom Pabst","Katie Featherston, Micah Sloat, Molly Ephraim","Daniel Rey along with his wife, Kristi; daughter, Ali; toddler son, Hunter, and their dog, move to Carlsbad, California. A few days later their residence is broken into, however, nothing appears to be missing. In order to prevent re-occurrences, they install a number of security cameras that will record everything on a DVR. After they hire a Spanish-speaking nanny to look after Hunter, she informs them that there is something wrong in their house and performs prayers, much to the chagrin of Daniel, who lets her go. He will subsequently regret this decision as more inexplicable and strange incidents occur, with Ali concluding, after a research, that their house may be possessed by a demonic entity.","English, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjE4NDgwMzAxNF5BMl5BanBnXkFtZTcwNTE3OTk4Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.7,"106,351",tt1536044,movie,08 Feb 2011,"$84,752,907",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waking Ned Devine,1998,PG,08 Jan 1999,91 min,Comedy,Kirk Jones,Kirk Jones,"Ian Bannen, David Kelly, Fionnula Flanagan","The lucky winner of the national lottery is Ned Devine, so taken by his good fortune that he now can't be waked, because he died from the shock of it! News of the win spread quickly in the scenic little Irish village of Tully More, but not the secret news of Ned's demise. With lottery officials closing in to confirm the prize claimed by the deceased Devine, Ned's closest friends scheme to keep the prize money close to home, in memory of Ned of course! But as the plot twists humorously, they learn it is hard is to keep such a secret in a small town.","English, Latin, Irish Gaelic","United Kingdom, Ireland, France, United States",Nominated for 1 BAFTA Award9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOWUyMzZiZTAtMGE5OC00MGU1LTk3ZjctMzJkZDNlNTdiYmYyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.3,"27,074",tt0166396,movie,07 Sep 2004,"$24,792,251",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowling for Columbine,2002,R,15 Nov 2002,120 min,"Documentary, Crime, Drama",Michael Moore,Michael Moore,"Michael Moore, Charlton Heston, Marilyn Manson","The United States of America is notorious for its astronomical number of people killed by firearms for a developed nation without a civil war. With his signature sense of angry humor, activist filmmaker Michael Moore sets out to explore the roots of this bloodshed. In doing so, he learns that the conventional answers of easy availability of guns, violent national history, violent entertainment and even poverty are inadequate to explain this violence when other cultures share those same factors without the equivalent carnage. In order to arrive at a possible explanation, Michael Moore takes on a deeper examination of America's culture of fear, bigotry and violence in a nation with widespread gun ownership. Furthermore, he seeks to investigate and confront the powerful elite political and corporate interests fanning this culture for their own unscrupulous gain.",English,"United States, Canada, Germany",Won 1 Oscar. 39 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BOWY2OWM1ODEtNDU5OS00MjMwLTliYzItZWZlOTEyYmQ2Njg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,8.0,"145,867",tt0310793,movie,19 Aug 2003,"$21,576,018",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coming Home,2014,PG-13,16 May 2014,109 min,"Drama, Romance",Yimou Zhang,"Geling Yan, Jingzhi Zou, Xiaofeng Zhou","Gong Li, Daoming Chen, Huiwen Zhang","Lu Yanshi (Chen Daoming) and Feng Wanyu (Gong Li) are a devoted couple forced to separate when Lu is arrested and sent to a labor camp as a political prisoner, just as his wife is injured in an accident. Released during the last days of the Cultural Revolution, he finally returns home only to find that his beloved wife has amnesia and remembers little of her past. Unable to recognize Lu, she patiently waits for her husband's return. A stranger alone in the heart of his broken family, Lu Yanshi determines to resurrect their past together and reawaken his wife's memory.",Mandarin,"China, France",23 wins & 49 nominations,https://m.media-amazon.com/images/M/MV5BMTcwMzYwMjA5NV5BMl5BanBnXkFtZTgwNTk5OTc1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.2,"6,374",tt3125472,movie,08 Mar 2016,"$377,607",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Nightmare on Elm Street 2: Freddy's Revenge,1985,R,01 Nov 1985,87 min,Horror,Jack Sholder,"David Chaskin, Wes Craven","Robert Englund, Mark Patton, Kim Myers","A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BZjBmNWNiN2ItYzM0ZC00MWQyLWFmZjctMmZkNTVhMjE1ZjFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.4,"72,505",tt0089686,movie,21 Aug 2001,"$29,999,213",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Room with a View,1985,Not Rated,11 Apr 1986,117 min,"Drama, Romance",James Ivory,"E.M. Forster, Ruth Prawer Jhabvala","Maggie Smith, Helena Bonham Carter, Denholm Elliott","When Lucy Honeychurch (Helena Bonham Carter) and chaperone Charlotte Bartlett (Dame Maggie Smith) find themselves in Florence with rooms without views, fellow guests Mr. Emerson (Denholm Elliott) and son George (Julian Sands) step in to remedy the situation. Meeting the Emersons could change Lucy's life forever, but once back in England, how will her experiences in Tuscany affect her marriage plans?","English, Italian",United Kingdom,Won 3 Oscars. 25 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.2,"45,020",tt0091867,movie,03 Jul 2007,"$20,966,644","Warner Home Vídeo, Image Entertainment Inc.",N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Purge,2013,R,07 Jun 2013,85 min,"Horror, Sci-Fi, Thriller",James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder","In an America wracked by crime and overcrowded prisons, the government has sanctioned an annual 12-hour period in which any and all criminal activity-including murder-becomes legal. The police can't be called. Hospitals suspend help. It's one night when the citizenry regulates itself without thought of punishment. On this night plagued by violence and an epidemic of crime, one family wrestles with the decision of who they will become when a stranger comes knocking. When an intruder breaks into James Sandin's (Ethan Hawke) gated community during the yearly lockdown, he begins a sequence of events that threatens to tear a family apart. Now, it is up to James, his wife, Mary (Lena Headey), and their kids to make it through the night without turning into the monsters from whom they hide.",English,"United States, France",2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.7,"228,273",tt2184339,movie,15 Jan 2013,"$64,473,115",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinister,2012,R,12 Oct 2012,110 min,"Horror, Mystery, Thriller",Scott Derrickson,"Scott Derrickson, C. Robert Cargill","Ethan Hawke, Juliet Rylance, James Ransone","Crime writer Ellison Oswalt moves his family into a house where a horrific crime took place earlier, but his family doesn't know. He begins researching the crime in hopes of writing a book about it. Oswalt examines video footage that he finds in the house to help him in his research, but he soon discovers more than he bargained for.",English,"United States, United Kingdom, Canada",3 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.8,"260,418",tt1922777,movie,25 Jan 2013,"$48,086,903",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Lawrence Live: Runteldat,2002,R,02 Aug 2002,113 min,"Documentary, Comedy",David Raynr,Martin Lawrence,"Martin Lawrence, Nancy O'Dell, Paul Keeley","The controversial bad-boy of comedy delivers a piercing look at his life, lifting the metaphorical smokescreen that he feels has clouded the public view, commenting on everything from the dangers of smoking to the trials of relationships, and unleashing a nonstop litany of raucous anecdotes, stinging social commentary and very personal reflections about life.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTZiNjUzNDMtMmZlZS00OWEyLTliZmYtNDkwM2MzNjE3MjNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.4,"1,753",tt0327036,movie,07 Jan 2003,"$19,184,820",Paramount Pictures,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cat on a Hot Tin Roof,1958,Not Rated,29 Aug 1958,108 min,Drama,Richard Brooks,"Richard Brooks, James Poe, Tennessee Williams","Elizabeth Taylor, Paul Newman, Burl Ives","The family of ""Big Daddy"" Pollitt (Burl Ives) convenes at his and Big Momma's (Dame Judith Anderson's). Among the attendees is alcoholic son, Brick (Paul Newman); an ex-football player, who spends his time drinking and avoiding the ministries of his libidinous wife, Maggie (Dame Elizabeth Taylor) - ""the cat"". As this gathering isn't so much as a gathering but a farewell (Big Daddy is terminally ill) a lot of memories and revelations which had been hidden come to the surface of both father and son.",English,United States,Nominated for 6 Oscars. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMzFhNTMwNDMtZjY3Yy00NzY3LWI1ZWQtZTQxMWJmODVhZWFkXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.9,"50,913",tt0051459,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beneath the Planet of the Apes,1970,G,26 May 1970,95 min,"Action, Adventure, Sci-Fi",Ted Post,"Paul Dehn, Mort Abrahams, Pierre Boulle","James Franciscus, Kim Hunter, Maurice Evans","Brent is an American astronaut, part of a team sent to locate missing fellow American astronaut, George Taylor. Following Taylor's known flight trajectory, the search and rescue team crash lands on an unknown planet much like Earth in the year 3955, with Brent being the only survivor of the team. What Brent initially does not know, much like Taylor didn't initially know when he landed here before Brent, is that he has landed back on Earth in the future, in the vicinity of what was New York City. Brent finds evidence that Taylor has been on the planet. In Brent's search for Taylor, he finds that the planet is run by a barbaric race of English speaking apes, whose mission is in part to annihilate the human race. Brent eventually locates some of those humans, who communicate telepathically and who live underground to prevent detection by the apes. These humans, who are in their own way as barbaric as the apes, want in turn to protect their species. Brent has to figure out a way to save himself under the circumstances, which may be more difficult to accomplish in the battle between the dominant species on this planet.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjljYjY0MDktZjdlNC00ZTAxLTkzM2ItM2JjZjQ3YzQ0NzJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.0,"48,397",tt0065462,movie,28 Mar 2006,"$18,999,718",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Bud,1997,PG,01 Aug 1997,98 min,"Comedy, Drama, Family",Charles Martin Smith,"Kevin DiCicco, Paul Tamasy, Aaron Mendelsohn","Michael Jeter, Kevin Zegers, Wendy Makkena","A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his family to the small town of Fernfield, Washington. The new kid in town, Josh has no friends and is too shy to try out for the school basketball team. Instead he prefers to practice alone on an abandoned court, he befriends a runaway golden retriever named Buddy. Josh is amazed when he realizes that Buddy loves basketball...that is playing basketball...and he is GOOD! Josh eventually makes the school team and Buddy is named the Team Mascot. Josh and Buddy become the stars of halftime. Buddy's half-time talent draws media attention. Unfortunately, when Buddy's mean former owner, Norm Snively, comes along with a scheme to cash in on the pup's celebrity, it looks like they are going to be separated.",English,"Canada, United States",4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMzQxODE4MzEyNF5BMl5BanBnXkFtZTgwNjk2OTY4ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",N/A,5.3,"18,454",tt0118570,movie,01 May 2008,"$23,144,499",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokémon 3 the Movie: Spell of the Unown,2000,G,06 Apr 2001,93 min,"Animation, Action, Adventure",Kunihiko Yuyama,"Marc M., Takeshi Shudô, Hideki Sonoda","Veronica Taylor, Eric Stuart, Rica Matsumoto","Professor Shuri is a scientist looking for rare Pocket Monsters. He reads a storybook to his daughter Mi about the powerful Pokemon Entei. Shuri is currently searching for the heiroglyph Pokemon ""Unknown"". While searching through some ancient artifacts, Shuri awakens Unknown and is sucked into it. Mi next awakens Unknown while looking for her father. Unknown bonds with her and turns her mansion into a Crystal Tower. The crystallization begins to spread. Unknown lives to serve Mi and creates an Entei with the personality of her father to make her happy. When Mi next desires a mother, Entei kidnaps Satoshi's mother Hanako to give to Mi. Satoshi, Kasumi, Takeshi, and of course Pikachu set out to get her back.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTk0NzM3MDY1OV5BMl5BanBnXkFtZTYwNTkwODc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"14,481",tt0235679,movie,N/A,"$17,052,128",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday the 13th Part VI: Jason Lives,1986,R,01 Aug 1986,86 min,"Horror, Thriller",Tom McLoughlin,"Tom McLoughlin, Sean S. Cunningham, Victor Miller","Thom Mathews, Jennifer Cooke, David Kagen",Tommy Jarvis returns to the graveyard to make sure Jason Voorhees is dead and accidentally brings him back to life. Now it's up to Tommy to stop Jason's mindless killing and put him back where he belongs.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYjM3ZjhjNzgtMjg2OC00MmI5LWIyZGItOTUxZTVlZjdjNTNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.0,"47,080",tt0091080,movie,16 Jun 2009,"$19,472,057",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bridge on the River Kwai,1957,PG,14 Dec 1957,161 min,"Adventure, Drama, War",David Lean,"Pierre Boulle, Carl Foreman, Michael Wilson","William Holden, Alec Guinness, Jack Hawkins","During WW II, allied POWs in a Japanese internment camp are ordered to build a bridge to accommodate the Burma-Siam railway. Their instinct is to sabotage the bridge, but under the leadership of Colonel Nicholson they're persuaded the bridge should be built to help morale, spirit. At first, the prisoners admire Nicholson when he bravely endures torture rather than compromise his principles for the benefit of Japanese Commandant Colonel Saito, but soon they realise it's a monument to Nicholson, himself, as well as a form of collaboration with the enemy.","English, Japanese, Thai","United Kingdom, United States",Won 7 Oscars. 30 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.2,"224,059",tt0050212,movie,21 Nov 2000,"$27,200,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaced Invaders,1990,PG,27 Apr 1990,100 min,"Adventure, Comedy, Sci-Fi",Patrick Read Johnson,"Patrick Read Johnson, Scott Lawrence Alexander","Douglas Barr, Royal Dano, Ariana Richards","When one saucer of an invasion force has engine trouble, it lands on Earth. It happens to be Halloween and it happens the invaders are only about 4 feet tall. As the bumbling aliens wander around the countryside they are taken to be children and they make friends with two children, one of whom is the daughter of the sheriff. As their troubles mount (it's difficult for five aliens to conquer a world) they begin to give up their plans of conquest, but then there is that nasty killer robot.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjQyNjRkNWYtYzA5OC00ZGRiLThmYjEtZjJmNzlmZWI2ZDFiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.3,"3,794",tt0100666,movie,03 Sep 2002,"$15,369,573",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family Plot,1976,PG,09 Apr 1976,120 min,"Comedy, Crime, Drama",Alfred Hitchcock,"Ernest Lehman, Victor Canning","Karen Black, Bruce Dern, Barbara Harris","The medium Madam Blanche Tyler is engaged by the elderly millionaire Julia Rainbird who believes she is a spiritualist. After a séance, Blanche discovers that Julia is tormented by her past, when she forced her sister and unmarried mother Harriet to deliver her baby for adoption to avoid a family scandal. Julia promises the small fortune of ten thousand-dollars to Blanche if she finds her nephew and heir of her fortune using her physic powers. Blanche and her boyfriend George Lumley, who is an unemployed actor working as cab driver, investigate the whereabouts of Julia's nephew. Meanwhile, the greedy jeweler Arthur Adamson kidnaps wealthy people with his girlfriend Fran and requests diamonds for the ransom. When George's investigations conclude that Arthur Adamson might be the heir of Julia Rainbird, the reckless Blanche gets in trouble with the kidnappers.",English,United States,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZWE5NDI0OTktNWZkZi00OTQ5LTg2ZTctNzljNDFmZmYyYWEzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.8,"23,756",tt0074512,movie,04 Oct 2005,N/A,N/A,N/A,True,,
