color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Play It to the Bone,1999,R,21 Jan 2000,124 min,"Comedy, Drama, Sport",Ron Shelton,Ron Shelton,"Woody Harrelson, Antonio Banderas, Lolita Davidovich","Two aging fighters in LA, friends, get a call from a Vegas promoter because his undercard fighters for a Mike Tyson bout that night are suddenly unavailable. He wants them to box each other. They agree as long as the winner gets a shot at the middleweight title. They enlist Grace, Cesar's current and Vinnie's ex girlfriend, to drive them to Vegas. On the trip, we see flashbacks to their previous title shots, their competitive friendship, and Grace's motivational wiles. (She has her own entrepreneurial dreams.) The fight itself is historic: ten rounds of savagery and courage. Who will win, who'll get the title shot, who gets Grace, and where will she find venture capital?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM2NjY1MTA2Nl5BMl5BanBnXkFtZTYwMzY2Mzc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.5,"12,137",tt0196857,movie,13 Jun 2000,"$8,434,146",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Don't Know How She Does It,2011,PG-13,16 Sep 2011,89 min,"Comedy, Romance",Douglas McGrath,"Aline Brosh McKenna, Allison Pearson","Sarah Jessica Parker, Pierce Brosnan, Kelsey Grammer","Opportunist Chris Bunce remains Pacific coast investment firm CEO Clark Cooper's favorite by being available always, also when he can snatch up deals Kate Reddy largely set up but lost giving priority to husband Richard and their kids. She gets a dream chance working for New York tycoon Jack Abelhammer, who proves most accommodating, amused by her faults, generous and able to sort of draw her back into enjoying life, so it looks like she'll have to choose when he offers her an investment fund partnership.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzUyNDY1Mzk0NV5BMl5BanBnXkFtZTcwNDQwODg2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,4.9,"20,723",tt1742650,movie,03 Jan 2012,"$9,662,284",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piranha 3D,2010,R,20 Aug 2010,88 min,"Comedy, Horror",Alexandre Aja,"Pete Goldfinger, Josh Stolberg","Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss","After a sudden underwater earthquake, that releases thousands of prehistoric piranha just in time for spring break. As the spring breakers party at Lake Victoria the piranhas attack and local police, friends and family must work together to stop it.",English,United States,2 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTU3NDg2NTY4Nl5BMl5BanBnXkFtZTcwMTM0OTE3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.5,"93,256",tt0464154,movie,11 Jan 2011,"$25,003,155",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beyond the Sea,2004,PG-13,29 Dec 2004,118 min,"Biography, Drama, Music",Kevin Spacey,"Kevin Spacey, Lewis Colick","Kevin Spacey, Kate Bosworth, John Goodman","The life of crooner/actor Bobby Darin is presented as part fact, part fiction and much fantasy. It is framed around a biopic being filmed about and starring Darin as himself, with he being surrounded by many of his lifelong entourage from the Bronx. In that fantasy, the young actor portraying him as a child in the biopic emerges as his true younger self, questioning, knowing all, if his adult self wants the biopic to be all sugar and roses, as is the want of his manager, Steve Blauner, or if he wants to tell the truth. Regardless, what is presented of his life includes: his sickly childhood - where he was not expected to survive past his teens - with his vaudevillian mother, Polly Cassotto, his musical mentor, and his much older sister, Nina Cassotto, both who ultimately lived vicariously through his fame; his early singing career where the ultimate goal was not to rival but surpass the fame of Frank Sinatra; the meeting of who would become his wife, already famous actress Sandra Dee - his costar in his first movie role - he needing to win over her protective stage mother, Mary Douvan, to get to Sandra; their turbulent marriage due to the competing priorities of work and family, and their respective egos not allowing each to celebrate the other's success; his turn to political activism in the late 1960s during the changing times when his style of music was no longer in vogue; what affected his thoughts of running for political office himself; and how he tried to reinvent his singer self in the early 1970s.","English, Italian","United Kingdom, Germany, United States",7 nominations,https://m.media-amazon.com/images/M/MV5BMTY2MzI0ODE3NF5BMl5BanBnXkFtZTYwODI4NDM3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.7,"15,212",tt0363473,movie,07 Jun 2005,"$6,318,709",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meet the Deedles,1998,PG,27 Mar 1998,93 min,"Comedy, Family, Sport",Steve Boyum,Jim Herzfeld,"Paul Walker, Steve Van Wormer, A.J. Langer",Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNDE3NWFiYjQtNWYxYi00MTZlLWJiN2QtMDI1M2U1M2ZjZjZjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}]",N/A,4.0,"3,051",tt0120645,movie,01 Jan 2014,"$4,356,216",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Thief and the Cobbler,1993,G,25 Aug 1995,99 min,"Animation, Action, Adventure",Richard Williams,"Richard Williams, Margaret French, Parker Bennett","Vincent Price, Matthew Broderick, Jennifer Beals","When Tack upsets ZigZag the Vizier, the wizard drags him off to the royal castle, where Princess YumYum falls for the bashful boy and saves him from execution. Unfortunately, ZigZag plans to marry the Princess in order to succeed her father, King Nod. The Thief, meanwhile, is more interested in gold than love and takes off with the protective orbs topping the palace. Together, Tack and YumYum attempt to retrieve them in order to prevent ZigZag and the One-Eye army from conquering the city.","Japanese, Korean, English","United Kingdom, United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMGUwOGEyYWEtZGFmNC00ZDRlLThkZjctNmE2M2EyNTg2NzhlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,7.1,"4,287",tt0112389,movie,03 May 2011,"$669,276",Miramax Films,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bridge of San Luis Rey,2004,PG,22 Dec 2004,120 min,"Drama, History, Romance",Mary McGuckian,"Mary McGuckian, Thornton Wilder","Gabriel Byrne, Robert De Niro, Harvey Keitel","In early 18th century Peru an old Inca rope bridge collapses, plunging five travelers to their deaths in the Andean chasm below. Brother Juniper, who was within minutes of being on the bridge himself, becomes obsessed with discovering how five people of differing class and circumstances came to be on the bridge at that moment. The Catholic friar wants to know if it was mere existential happenstance or part of God's cosmic plan. After researching the lives of the victims for five years and publishing his findings in a book, he is accused of heresy by the worldly Archbishop of Lima and is put on trial for his life by the Inquisition.",English,"United Kingdom, Spain, France",1 win,https://m.media-amazon.com/images/M/MV5BMjA0NDEwMTA2Nl5BMl5BanBnXkFtZTcwNjEyMTAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.0,"3,579",tt0356443,movie,11 Oct 2005,"$49,981",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faster,2010,R,24 Nov 2010,98 min,"Action, Crime, Drama",George Tillman Jr.,"Tony Gayton, Joe Gayton","Dwayne Johnson, Billy Bob Thornton, Maggie Grace","A lone man, recently released from prison, seeks out the people from his past who he believes betrayed him. While he forces each to atone for their sins, he must also face what meting out vengeance will do to his immortal soul. Meanwhile, he's not the only one looking to settle old scores: hired by the man responsible for the events which led him to prison, an eccentric contract killer follows his every move. Scenes of them crossing paths, sometimes violently, are interspersed with the assassin's self-realizations of how to deal with struggles within his own life. As if old enemies and hired guns aren't enough, a young female detective begrudgingly works alongside a veteran investigator looking to simply survive his last two weeks on the force before retirement, as they seek out the brazen ex-con who has been blazing a path of gasoline-powered destruction in his vintage Chevelle.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMTMyOTQ5MTAxOF5BMl5BanBnXkFtZTcwOTYzMDg5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.4,"109,211",tt1433108,movie,01 Mar 2011,"$23,240,020",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howl's Moving Castle,2004,PG,17 Jun 2005,119 min,"Animation, Adventure, Family",Hayao Miyazaki,"Hayao Miyazaki, Diana Wynne Jones","Chieko Baisho, Takuya Kimura, Tatsuya Gashûin","A love story between an 18-year-old girl named Sophie, cursed by a witch into an old woman's body, and a magician named Howl. Under the curse, Sophie sets out to seek her fortune, which takes her to Howl's strange moving castle. In the castle, Sophie meets Howl's fire demon, named Karishifâ. Seeing that she is under a curse, the demon makes a deal with Sophie--if she breaks the contract he is under with Howl, then Karushifâ will lift the curse that Sophie is under, and she will return to her 18-year-old shape.",Japanese,Japan,Nominated for 1 Oscar. 14 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.2,"403,280",tt0347149,movie,14 Feb 2006,"$6,789,268",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zombieland,2009,R,02 Oct 2009,88 min,"Action, Comedy, Horror",Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Emma Stone, Woody Harrelson","Searching for family. In the early twenty-first century, zombies have taken over America. A shy and college student in Texas has survived by following his 30 rules: like ""look in the back seat,"" ""double-tap,"" ""avoid public restrooms."" He decides to travel to Ohio to see if his parents are alive. He gets a ride with a savage, brutal zombie-killer headed for Florida, and soon they confront a young woman whose sister has been bitten by a zombie and wants to be put out of her suffering. The sisters were headed to an LA park with atractions they've heard is without a zombie.","English, Spanish, French",United States,10 wins & 29 nominations,https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.6,"589,199",tt1156398,movie,02 Feb 2010,"$75,590,286",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,King Kong,2005,PG-13,14 Dec 2005,187 min,"Action, Adventure, Drama",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Naomi Watts, Jack Black, Adrien Brody","Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind.",English,"United States, New Zealand, Germany",Won 3 Oscars. 46 wins & 104 nominations total,https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.2,"429,399",tt0360717,movie,28 Mar 2006,"$218,080,025",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Waterboy,1998,PG-13,06 Nov 1998,90 min,"Comedy, Sport",Frank Coraci,"Tim Herlihy, Adam Sandler","Adam Sandler, Kathy Bates, Henry Winkler","Bobby Boucher is the lowly waterboy for a college football team, until the coach discovers his amazing talent for tackling people much bigger than him. He signs the Waterboy as the new star player, but Bobby must keep it secret from his overbearing and domineering mother.",English,United States,6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNzJmZDZlMGItZGJhOC00Y2NjLTljNzctMDg5YmQ1NzU3NzYzL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.1,"168,767",tt0120484,movie,02 Sep 2003,"$161,491,646",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Wars: Episode V - The Empire Strikes Back,1980,PG,20 Jun 1980,124 min,"Action, Adventure, Fantasy",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.",English,United States,Won 1 Oscar. 26 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.7,"1,310,371",tt0080684,movie,21 Sep 2004,"$292,753,960",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Boys,1995,R,07 Apr 1995,119 min,"Action, Comedy, Crime",Michael Bay,"George Gallo, Michael Barrie, Jim Mulholland","Will Smith, Martin Lawrence, Lisa Boyle","Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","Persian, English",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.8,"272,472",tt0112442,movie,14 Jun 2005,"$65,807,024",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Naked Gun 2½: The Smell of Fear,1991,PG-13,28 Jun 1991,85 min,"Comedy, Crime",David Zucker,"Jim Abrahams, David Zucker, Jerry Zucker","Leslie Nielsen, Priscilla Presley, George Kennedy","Lieutenant Frank Drebbin returns to save the day once again. This time he's out to foil the ""big boys"" in the energy business. A top scientist (Dr. Mainheimer) is about to publish his report on energy supply for the future. Things don't look good for the traditional suppliers; oil, coal, and nuclear. To save their industries, the suppliers kidnap Mainheimer and replace him with a decoy with a more favorable report. Jane, the doctor's secretary, is Drebin's old flame. Their passionate love affair is thus rekindled.","English, Spanish",United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmU2NGU5MTUtYWRlNy00NzJiLWIxMTMtMDIxNDYxNjRlODg5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.9,"116,202",tt0102510,movie,20 Mar 2012,"$86,930,411",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final Destination,2000,R,17 Mar 2000,98 min,"Horror, Thriller",James Wong,"Glen Morgan, James Wong, Jeffrey Reddick","Devon Sawa, Ali Larter, Kerr Smith","Alex is boarding a plane to France on a school trip, when he suddenly gets a premonition that the plane will explode. Shortly after Alex, a group of students, and his teacher are thrown off the plane, to their horror, the plane does in fact explode. Alex must now work out Death's plan, as each of the survivors falls victim. Whilst trying to prevent the next death, Alex must also dodge the FBI, who believe that he caused the explosion.","English, French",United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZTI0NGM2OGYtNzVmMi00NGQ2LTk2MDAtN2RmYjIzMGRkZGYxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.7,"262,617",tt0195714,movie,10 May 2005,"$53,331,147",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ides of March,2011,R,07 Oct 2011,101 min,"Drama, Thriller",George Clooney,"George Clooney, Grant Heslov, Beau Willimon","Paul Giamatti, George Clooney, Philip Seymour Hoffman","Stephen Meyers is a young idealist who's brilliant at communications, is second in command of Governor Mike Morris's presidential campaign, and is a true believer. In the middle of the Ohio primary, the campaign manager of Morris's opponent asks Meyers to meet; he offers him a job. At the same time, Morris's negotiations for the endorsement of the man in third place, a North Carolina Senator, hit a snag. A young campaign intern, Molly Stearns, gets Stephen's romantic attention. Republicans have a trick up their sleeve; Stephen may be too trusting, and Molly has a secret. What's most important, career, victory, or virtue?",English,United States,Nominated for 1 Oscar. 9 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BNTU4MjkzNTY0OF5BMl5BanBnXkFtZTcwNDI5ODIxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.1,"224,986",tt1124035,movie,17 Jan 2012,"$40,962,534",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitch Black,2000,R,18 Feb 2000,109 min,"Action, Horror, Sci-Fi",David Twohy,"Jim Wheat, Ken Wheat, David Twohy","Radha Mitchell, Cole Hauser, Vin Diesel","The space transport vessel ""Hunter-Gratzner"" carrying 40 people on-board crashes on a desert planet when the ship is struck in a meteor storm. There are only 11 survivors, among them are pilot Carolyn Fry (Who has assumed command after the ship's captain is killed), bounty hunter William J. Johns, religious man Abu Al-Walid, Antiques dealer Paris P. Ogilvie, runaway teenager Jack, settlers John 'Zeke' Ezekiel and his lover Sharon 'Shazza' Montgomery, and Richard B. Riddick, a dangerous escaped convict. Marooned, the survivors discover the barren and hot desert-scape has sunlight from three suns. Not only must they find food and water and worry about Riddick, the survivors find themselves being hunted by the planet's flesh-eating alien inhabitants when the planet is engulfed in darkness, which happens every 22 years, as they emerge from underground to hunt and eat all signs of life. Fry and the survivors find Riddick is their best chance of survival, as Riddick has surgically-enhanced eyes that allow him to see in the dark as they set out to find a way of escaping from the planet and getting to an escape shuttle, before they all get eaten by the creatures on the surface.","English, Arabic",United States,2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.1,"244,526",tt0134847,movie,01 Jun 2004,"$39,240,659",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Someone Like You,2001,PG-13,30 Mar 2001,97 min,"Comedy, Romance",Tony Goldwyn,"Laura Zigman, Elizabeth Chandler","Ashley Judd, Greg Kinnear, Hugh Jackman","Jane Goodale has everything going for her. She's a producer of a popular daytime talk show, and is in a hot romance with the show's dashing executive producer Ray. When Ray unexpectedly dumps her, she begins an extensive study of male behavior to try to find out what makes men tick. Her ""research"" leads her to become an overnight sensation/guru for single women everywhere. When Jane begins to use her womanizing roommate and co-worker Eddie as fodder for her research, she finds both humor and answers where they were least expected.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWIwMGYzOGYtMDY2Yy00NDk5LWI5MTItMDI2YzExMzI4ZDQ0XkEyXkFqcGdeQXVyNTE0MDY4Mjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,6.0,"26,825",tt0244970,movie,14 Jan 2003,"$27,343,067",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Her,2013,R,10 Jan 2014,126 min,"Drama, Romance, Sci-Fi",Spike Jonze,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson","Theodore is a lonely man in the final stages of his divorce. When he's not working as a letter writer, his down time is spent playing video games and occasionally hanging out with friends. He decides to purchase the new OS1, which is advertised as the world's first artificially intelligent operating system, ""It's not just an operating system, it's a consciousness,"" the ad states. Theodore quickly finds himself drawn in with Samantha, the voice behind his OS1. As they start spending time together they grow closer and closer and eventually find themselves in love. Having fallen in love with his OS, Theodore finds himself dealing with feelings of both great joy and doubt. As an OS, Samantha has powerful intelligence that she uses to help Theodore in ways others hadn't, but how does she help him deal with his inner conflict of being in love with an OS?",English,United States,Won 1 Oscar. 83 wins & 186 nominations total,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.0,"625,512",tt1798709,movie,13 May 2014,"$25,568,251",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddie the Eagle,2015,PG-13,26 Feb 2016,106 min,"Adventure, Biography, Comedy",Dexter Fletcher,"Simon Kelton, Sean Macaulay","Taron Egerton, Hugh Jackman, Tom Costello","Inspired by true events, Eddie the Eagle is a feel-good story about Michael ""Eddie"" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics. From producers of Kingsman: The Secret Service, Eddie the Eagle stars Taron Egerton as Eddie, the loveable underdog with a never say die attitude.","English, German, Norwegian","United Kingdom, Germany, United States",2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTUxOTc5MTU1NF5BMl5BanBnXkFtZTgwODYyNTA1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.3,"95,607",tt1083452,movie,14 Jun 2016,"$15,789,389",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joy Ride,2001,R,05 Oct 2001,97 min,"Action, Mystery, Thriller",John Dahl,"Clay Tarver, J.J. Abrams","Steve Zahn, Paul Walker, Leelee Sobieski","College student Lewis decides to drive across the country to see Venna, a friend who doesn't know that Lewis is interested in her romantically. Unfortunately for his plans, Lewis gets saddled with his raucous-spirited older brother, Fuller, whose on-the-road pranks get the brothers and Venna sucked into a nightmare when a psychopathic truck driver takes offense.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMWQwOTUwOWYtMjJjYy00Yjg3LThhZTktZmMwN2NmMmMxZTUwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.6,"71,860",tt0206314,movie,14 Oct 2003,"$21,974,919",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Adventurer: The Curse of the Midas Box,2013,PG,05 Dec 2013,100 min,"Adventure, Family, Fantasy",Jonathan Newman,"Christian Taylor, Matthew Huffman, G.P. Taylor","Aneurin Barnard, Michael Sheen, Lena Headey","Ancient mysteries. Powerful evil. And a fearless hero's quest through a fantastical realm of steam-powered wonders and sinister magic... In THE ADVENTURER: THE CURSE OF THE MIDAS BOX, seventeen-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artifact that grants limitless wealth - but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box!",English,"United Kingdom, Spain, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BNTAwODA2NDUxMF5BMl5BanBnXkFtZTgwNTgyNDc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.4,"6,923",tt1376213,movie,11 Feb 2014,"$6,399",N/A,N/A,True,,,,
