color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riding in Cars with Boys,2001,PG-13,19 Oct 2001,132 min,"Biography, Comedy, Drama",Penny Marshall,"Beverly D'Onofrio, Morgan Ward","Drew Barrymore, Steve Zahn, Adam Garcia","Seriocomic story based on the memoir by Beverly Donofrio, the movie follows a young woman who finds her life radically altered by an event from her teen years. Born in 1950, Beverly grew up bright and ambitious in a working-class neighborhood in Connecticut; her father was a tough but good-hearted cop who listened to his daughter's problems, and her mother was a nervous woman eager to imagine the worst. From an early age, Beverly displays a keen intelligence and an interest in literature, and dreams of going to college in New York and becoming a writer. However, she also develops an early interest in boys, and at 15 finds herself madly in love with a boy from her high school. However, an attempt to get his attention leads to an embarassing incident at a party, and Ray, a sweet but thick-headed 18-year-old, steps forward to defend her. Beverly and Ray end up making out, and after one thing leads to another, Beverly discovers she's pregnant. Telling Ray is only marginally less difficult than informing her parents, and at 16, Beverly is a wife and mother. Against the odds, Beverly is determined to still finish high school and go on to college, but that goal becomes more difficult with time, especially after Beverly's marriage begins to fall apart. Ray tries to do the right thing but has trouble holding a job, and becomes addicted to heroin.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOGM5MzU5NTgtMmJjZC00Y2E2LThhZGQtMGE5YzUxZTgwZDdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.5,"29,628",tt0200027,movie,19 Mar 2002,"$30,165,536",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Blood,1982,18+,22 Oct 1982,93 min,"Action, Adventure, Thriller",Ted Kotcheff,"David Morrell, Michael Kozoll, William Sackheim","Sylvester Stallone, Brian Dennehy, Richard Crenna","John J. Rambo is a former United States Special Forces soldier who fought in Vietnam and won the Congressional Medal of Honor, but his time in Vietnam still haunts him. As he came to Hope, Washington to visit a friend, he was guided out of town by the Sheriff William Teasel who insults Rambo, but what Teasel does not know that his insult angered Rambo to the point where Rambo became violent and was arrested. As he was at the county jail being cleaned, he escapes and goes on a rampage through the forest to try to escape from the sheriffs who want to kill him. Then, as Rambo's commanding officer, Colonel Samuel Trautman tries to save both the Sheriff's department and Rambo before the situation gets out of hand.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BODBmOWU2YWMtZGUzZi00YzRhLWJjNDAtYTUwNWVkNDcyZmU5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.7,"258,530",tt0083944,movie,23 Nov 2004,"$47,212,904",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solaris,1972,PG,26 Sep 1972,167 min,"Drama, Mystery, Sci-Fi",Andrei Tarkovsky,"Stanislaw Lem, Fridrikh Gorenshteyn, Andrei Tarkovsky","Natalya Bondarchuk, Donatas Banionis, Jüri Järvet","The Solaris mission has established a base on a planet that appears to host some kind of intelligence, but the details are hazy and very secret. After the mysterious demise of one of the three scientists on the base, the main character is sent out to replace him. He finds the station run-down and the two remaining scientists cold and secretive. When he also encounters his wife who has been dead for ten years, he begins to appreciate the baffling nature of the alien intelligence.","Russian, German",Soviet Union,5 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,8.0,"93,334",tt0069293,movie,09 Apr 2003,"$22,168",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happily N'Ever After,2006,PG,05 Jan 2007,87 min,"Animation, Adventure, Comedy","Paul Bolger, Yvette Kaplan, Greg Tiernan","Robert Moreland, Doug Langdale, Andre Sikojev","Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton","As the story begins, an alliance of evil fairy tale-doers, led by Frieda, looks to take over Fairy Tale Land and take control of. But when Ella A.K.A. Cinderella realizes her own evil stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",English,"United States, Germany, Canada, United Kingdom, Australia, Japan",1 nomination,https://m.media-amazon.com/images/M/MV5BNzA3MTA0Mjk1M15BMl5BanBnXkFtZTcwNTE0NTQ0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,4.5,"10,841",tt0308353,movie,01 May 2007,"$15,589,393",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Reilly,1996,R,23 Feb 1996,108 min,"Drama, Horror, Romance",Stephen Frears,"Valerie Martin, Christopher Hampton","Julia Roberts, John Malkovich, George Cole","Somewhere in England in the nineteenth century. A pretty housemaid works in a nice house, which is Dr. Henry Jekyll's (John Malkovich's) house. Mary Reilly (Julia Roberts) think she found her best job, because she is poor and the doctor is well-known and rich. This movie tells the ""Dr. Jekyll and Mr. Hyde"" story as a woman sees the two men, one of them is good and the other is evil. And she loves them.",English,"United States, United Kingdom",6 nominations,https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.8,"15,299",tt0117002,movie,23 Mar 2004,"$5,707,094",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,My Best Friend's Wedding,1997,PG-13,20 Jun 1997,105 min,"Comedy, Drama, Romance",P.J. Hogan,Ron Bass,"Julia Roberts, Dermot Mulroney, Cameron Diaz","A woman who, by a promise made years earlier, is supposed to marry her best friend in three weeks, even though she doesn't want to. When she finds out that he's marrying someone else, she becomes jealous and tries to break off the wedding.","English, French, Italian",United States,Nominated for 1 Oscar. 12 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMzRiMGE2MmMtM2RhMy00OWNiLTljYTktOThmMmE1YjY1NjYyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.3,"146,253",tt0119738,movie,03 Jul 2001,"$127,120,029",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,America's Sweethearts,2001,PG-13,20 Jul 2001,102 min,"Comedy, Romance",Joe Roth,"Billy Crystal, Peter Tolan","Julia Roberts, John Cusack, Billy Crystal","In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found its only print kidnapped by the director.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BYzNkY2E5MTgtYTE4NC00MjVhLWE5NzEtMjRjZjdiM2ZlOGU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.7,"58,765",tt0265029,movie,31 Jan 2006,"$93,607,673",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insomnia,2002,R,24 May 2002,118 min,"Drama, Mystery, Thriller",Christopher Nolan,"Hillary Seitz, Nikolaj Frobenius, Erik Skjoldbjærg","Al Pacino, Robin Williams, Hilary Swank","In Nightmute, Alaska, seventeen year old resident Kay Connell is found murdered. As a favor to the local Nightmute police chief, two Los Angeles Robbery Homicide police detectives, Will Dormer and Hap Eckhart, are called in to assist in the investigation. Although renowned in the police world, both Dormer and Eckhart are facing some professional issues back in Los Angeles. In Nightmute, Dormer has a major case of insomnia due to a combination of the incessant midnight sun and from a secret he is carrying. This insomnia is causing him to be delusional. Something he is not dreaming about is that the murderer has contacted him, informing him all about the murder and the fact that he knows everything that is going on with Dormer. They begin a symbiotic relationship in keeping secrets for each individual's benefit. But ambitious young local detective, Ellie Burr, might piece the story together on her own.",English,"United States, United Kingdom",1 win & 11 nominations,https://m.media-amazon.com/images/M/MV5BYzlkZTEyYjUtMTY5NS00ZjU0LTk5OTYtM2M0ZDg1NmNjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.2,"300,737",tt0278504,movie,15 Oct 2002,"$67,355,513",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Trek: First Contact,1996,PG-13,22 Nov 1996,111 min,"Action, Adventure, Drama",Jonathan Frakes,"Gene Roddenberry, Rick Berman, Brannon Braga","Patrick Stewart, Jonathan Frakes, Brent Spiner","In the twenty-fourth century, the crew of the U.S.S. Enterprise NCC-1701-E has been ordered to patrol the Romulan Neutral Zone by the Federation to avoid interference with their battle against the insidious Borg. Witnessing the loss of the battle, Captain Jean-Luc Picard ignores orders and takes command of the fleet engaging the Borg. But the Borg plan to travel back into the twenty-first century through a vortex with the intention to stop Earth's first contact with an alien race (the Vulcans). Following the Borg sphere, Picard and his crew realize that they have taken over the Enterprise in order to carry out their mission. Their only chance to do away with the Borg and their seductive Queen is to make sure that Zefram Cochrane makes his famous faster-than-light travel to the stars.",English,United States,Nominated for 1 Oscar. 8 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzZmE3MTItODYzYy00YWI5LWFkNWMtZTY5NmU2MDkxYWI1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.6,"127,368",tt0117731,movie,06 Oct 1998,"$92,027,888",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonah Hex,2010,PG-13,18 Jun 2010,81 min,"Action, Drama, Fantasy",Jimmy Hayward,"Mark Neveldine, Brian Taylor, William Farmer","Josh Brolin, Megan Fox, John Malkovich","During Grant's presidency, Jonah Hex is a remorseless bounty hunter. In the Civil War, he was a rebel whose honor put him afoul of a Confederate general, Quentin Turnbull, who murdered Jonah's family while Jonah watched. As a result of the ordeal, Jonah's face is disfigured and he can talk with the dead. After staging his own death, Turnbull, with a group of rebel stalwarts, hatches a plan to bring the Union to its knees. Grant wants Hex to stop it. While the nation readies to celebrate Independence Day, Hex and an unlikely ally have little time to stop Turnbull and his weapon of mass destruction.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ2NzYxNjQyMF5BMl5BanBnXkFtZTcwOTQ0OTI0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.7,"59,896",tt1075747,movie,12 Oct 2010,"$10,547,117",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Courage Under Fire,1996,R,12 Jul 1996,116 min,"Action, Drama, Mystery",Edward Zwick,Patrick Sheane Duncan,"Denzel Washington, Meg Ryan, Lou Diamond Phillips","The pilot of a rescue copter, Captain Karen Walden, died shortly before her helicopter crew was rescued after it crashed in Desert Storm. It first appears that she made a spectacular rescue of a downed helicopter crew, then held her own crew together to fight off the Iraqis after her copter crashed. Lt. Colonel Serling, who is struggling with his own demons from Desert Storm, is assigned to investigate her worthiness for the Medal of Honor. But some conflicting accounts, from her crew and soldiers in the area, cause him to question whether she deserves it.","English, Arabic",United States,9 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BODJlOTlkNzUtN2U2OC00NWUxLTg3MjgtNGVmZGU5ZTk0ZjM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.6,"56,623",tt0115956,movie,26 Dec 2000,"$59,031,057",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liar Liar,1997,PG-13,21 Mar 1997,86 min,"Comedy, Fantasy",Tom Shadyac,"Paul Guay, Stephen Mazur","Jim Carrey, Maura Tierney, Amanda Donohoe","Fletcher Reede, a fast talking attorney, habitual liar, and divorced father is an incredibly successful lawyer who has built his career by lying. He has a habit of giving precedence to his job and always breaking promises to be with his young son Max, but Fletcher lets Max down once too often, for missing his own son's birthday party. But until then at 8:15 Max has decided to make an honest man out of him as he wishes for one whole day his dad couldn't tell a lie. When the wish comes true all Fletcher can do is tell the truth and cannot tell one lie. Uh-oh for Fletcher Reede.",English,United States,4 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.9,"315,604",tt0119528,movie,25 Nov 2003,"$181,410,615",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Infiltrator,2016,R,13 Jul 2016,127 min,"Biography, Crime, Drama",Brad Furman,"Ellen Furman, Robert Mazur","Bryan Cranston, John Leguizamo, Diane Kruger","During the 1980s, U.S. Customs Service special agent Robert Mazur uses his undercover alias ""Bob Musella"" to become a pivotal player for drug lords cleaning their dirty cash. Later, he infiltrates the world's largest cartel, and helps expose the money-laundering organization of drug lord Pablo Escobar and take down the Bank of Credit and Commerce International, which had secretly taken illegal ownership of First American Bank shares in Washington, D.C. He survives the deception and has a long and productive career.","English, Spanish","United Kingdom, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMTEwNzM2NjY2MTNeQTJeQWpwZ15BbWU4MDQ3MDI3Njgx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"75,518",tt1355631,movie,11 Oct 2016,"$15,436,808",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inchon,1981,PG,17 Sep 1982,140 min,"Drama, History, War",Terence Young,"Robin Moore, Laird Koenig, Paul Savage","Laurence Olivier, Jacqueline Bisset, Ben Gazzara","During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.","English, Korean","South Korea, United States",5 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYWYwYzE3YzAtN2VhMS00NDAxLWI2ZDUtMTRkNzE0Mzg3MmJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTM3NzQ5NzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,2.8,813,tt0084132,movie,N/A,"$5,200,986",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flintstones,1994,PG,27 May 1994,91 min,"Comedy, Family, Fantasy",Brian Levant,"Tom S. Parker, Jim Jennewein, Steven E. de Souza","John Goodman, Rick Moranis, Rosie O'Donnell","The Flintstones and the Rubbles are modern stone-age families. Fred and Barney work at Slate and Company, mining rock. Fred gives Barney some money so he and Betty can adopt a baby. When Fred and Barney take a test to determine who should become the new associate vice president, Barney returns the favor by switching his test answers for Fred's, whose answers aren't very good. Fred gets the executive position, but little does he know that he's being manipulated by his boss to be the fall guy for an embezzlement scheme.",English,United States,7 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BYzY0ZTk4YzctNzYzNy00ZDQ0LTg2Y2ItZTQyYzQxMjQwMDc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.0,"82,773",tt0109813,movie,05 Jun 2007,"$130,531,208",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taken 2,2012,PG-13,05 Oct 2012,92 min,"Action, Crime, Thriller",Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson, Famke Janssen, Maggie Grace","The retired CIA agent Bryan Mills invites his teenage daughter Kim and his ex-wife Lenore, who has separated from her second husband, to spend a couple of days in Istanbul where he is working. Meanwhile, the patriarch of the community of the Albanian gang of human trafficking, Murad Krasniqi, seeks revenge for the death of his son and organizes another gang to kidnap Bryan and his family. Bryan and Lenore are abducted by the Albanians, but Kim escapes and is the only hope that Bryan has to escape and save Lenore.","English, Turkish, Arabic","France, United States, Turkey, United Kingdom",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTkwNTQ0ODExOV5BMl5BanBnXkFtZTcwNjU3NDQwOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.2,"312,001",tt1397280,movie,15 Jan 2013,"$139,854,287",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scary Movie 3,2003,PG-13,24 Oct 2003,84 min,Comedy,David Zucker,"Craig Mazin, Pat Proft, Shawn Wayans","Anna Faris, Charlie Sheen, Regina Hall","A mysterious killer video tape is circulating around. One look at this tape and you have seven days left to live. News Reporter Cindy Campbell (Faris) witnesses this video tape and tries to work out a way to prevent her death. But this is not the only mystery to appear. Crop circles have been appearing in the local farm of Tom (Sheen) and George (Rex). With help from Aunt Shaneequa (Latifah), Cindy suspects that the aliens may be linked with the killer tape and must now work out both mysteries before it's the end of the world.",English,"United States, Canada",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNDE2NTIyMjg2OF5BMl5BanBnXkFtZTYwNDEyMTg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.5,"150,820",tt0306047,movie,11 May 2004,"$110,003,217",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miss Congeniality,2000,PG-13,22 Dec 2000,109 min,"Action, Comedy, Crime",Donald Petrie,"Marc Lawrence, Katie Ford, Caryn Lucas","Sandra Bullock, Michael Caine, Benjamin Bratt","Undercover F.B.I. Agent Gracie Hart shows no signs of having any femininity in her demeanor or appearance. Generally a bright and capable Agent, she is in trouble at work when she makes an error in judgment in a case which results in a near disaster. As such, one of her by-the-books colleagues, Eric Matthews, who has never shown any inclination of thinking outside the box, is assigned to lead the high profile case of a terrorist coined The Citizen instead of her, while she is facing possible disciplinary action. Gracie pieces together the evidence to determine that The Citizen's next target will be the Miss United States beauty pageant. The pageant represents everything that Gracie abhors. Despite Gracie's mannish demeanor, Eric, with no other undercover female Agent remotely fitting the demographic, assigns her to go undercover as a pageant contestant to see if she can flush out The Citizen, who is perhaps one of the other contestants. Although the pageant administration, led by former winner Cathy Morningside and long time host Stan Fields, provide the F.B.I. with access to the pageant, Cathy in particular is less than thrilled to have a non-credible Gracie posing as a contestant, which she feels will ruin the pageant. The F.B.I. enlist the assistance of former pageant contestant coach Victor Melling, who is facing his own disgrace associated with the pageant, to do the nearly impossible task of transforming Gracie, not only into a woman, but a credible beauty pageant contestant. As Gracie proceeds in the transformation, she gets to know the other contestants, not only as potential criminals, but also as real people. She also discovers that another sinister element is present at the pageant. She will do whatever it takes to quash that element and protect her new friends, namely the other innocent contestants. But now displaying some femininity, Gracie begins to have more womanly feelings, and in turn, attracts the attention of men, one in particular about whom she is happy.","English, Russian, Hawaiian",United States,7 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZDhjNzc4N2MtNWE5ZC00N2M4LWFiYjEtMTE5YmYyMTg3OGY5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.3,"216,522",tt0212346,movie,18 Nov 2003,"$106,807,667",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journey to the Center of the Earth,2008,PG,11 Jul 2008,93 min,"Action, Adventure, Family",Eric Brevig,"Michael D. Weiss, Jennifer Flackett, Mark Levin","Brendan Fraser, Josh Hutcherson, Aníta Briem","Professor Trevor Anderson receives his teenager nephew Sean Anderson. He will spend ten days with his uncle while his mother, Elizabeth, prepares to move to Canada. She gives a box to Trevor that belonged to his missing brother, Max, and Trevor find a book with references to the last journey of his brother. He decides to follow the steps of Max with Sean and they travel to Iceland, where they meet the guide Hannah Ásgeirsson. While climbing a mountain, there is a thunderstorm and they protect themselves in a cave. However, lightening collapses the entrance and the trio is trapped in the cave. They seek an exit and fall in a hole, discovering a lost world in the center of the Earth.","English, Icelandic, Italian",United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTk1MzY1MzU1MF5BMl5BanBnXkFtZTcwOTQ2NjM3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.8,"125,606",tt0373051,movie,08 Jul 2008,"$101,704,370",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Princess Diaries 2: Royal Engagement,2004,G,11 Aug 2004,113 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot, Gina Wendkos, Shonda Rhimes","Anne Hathaway, Callum Blue, Julie Andrews","Princess Mia Thermopolis (Anne Hathaway) has just turned twenty-one and is supposed to succeed her grandmother as the Queen of Genovia. But Viscount Mabrey (John Rhys-Davies), who wishes that his nephew who is also in line to the throne to be the new ruler, reminds everyone of a law that states that an unmarried woman can't be made Queen, and with the backing of Parliament, he opposes Mia's coronation. Queen Clarisse Renaldi (Dame Julie Andrews) asks that Mia be allowed time to find a husband, and she is given thirty days, but Mabrey tries to do what he can to stop that: his nephew, Nicholas Devereaux (Chris Pine) has met Mia and they are both attracted to each other, but Mia, upon learning who he is, dislikes and doesn't trust him, but Queen Clarisse has invited him to stay with them for the thirty day period to keep an eye on him.","English, Greek, French, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BODljNTU2ZGMtMWI5Yy00MGNkLTg2MTktN2NhZjY0NDcwMDhiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.8,"83,763",tt0368933,movie,11 Dec 2005,"$95,170,481",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Pelican Brief,1993,PG-13,17 Dec 1993,141 min,"Crime, Drama, Mystery",Alan J. Pakula,"John Grisham, Alan J. Pakula","Julia Roberts, Denzel Washington, Sam Shepard","Two Supreme Court Justices have been killed. Now a college professor, who clerked for one of the two men and who is also having an affair with one of his students, is given a brief by her that states who probably wanted to see these two men dead. He then gives it to one of his friends, who works for the FBI. When the FBI director reads it, he is fascinated by it. One of the president's men who read it is afraid that if it ever got out, the president could be smeared. So he advises the president to tell the director to drop it, which he does. But later the professor and the girl were out and he was drunk and when he refused to give her the keys, she stepped out of the car. When he started it, it blew up. She then discovers that her place has been burglarized and what was taken were her computer and her disks. Obviously, her brief has someone agitated. She then turns to her boyfriend's friend at the FBI. He agrees to come meet her but before he does, someone shoots him and takes his place. At the meeting, he was about to kill her when someone shoots him. She then decides to turn to Gray Grantham, an investigative reporter, who was contacted by someone who says he has info on the killings but backed out at the last minute. He then meets her and tells her what her brief is, and basically, the man she suspects is a good friend of the president, and is trying to manipulate the outcome of a trial that is now before the Supreme Court. Grantham tells her that her brief can harm the president and although all they have are theories, he asks her to help him, but she wants to leave the country. Then Grantham's editor tells him that they have nothing, that he should drop cause the man she implicated is extremely powerful. Grantham is about to drop it when she says that she will help him. But can they stay alive?",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjYwNGRmMGUtMmI0ZC00MGM0LWI2MTQtNGM0ZGNkMzRhNmY5XkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.6,"90,367",tt0107798,movie,15 Aug 2000,"$100,768,056",N/A,N/A,True,
